Alcyone_12,Montreal,Canada, female , 50-64 ,"['montreal', ' quebec', 'washington dc', ' dc', 'new york city', ' ny', 'grenville', ' quebec', 'new orleans', ' la', 'niagara falls', ' ny', 'san francisco', ' ca', 'turneffe island', 'abadiania', 'abuja', 'addis ababa', 'aguas calientes']","[' canada', ' usa', ' belize', ' brazil', ' nigeria', ' ethiopia', ' peru']",[],"Montreal Amphi-Bus Tour, Montreal"," Tours
",,3 of 5 stars,"
I live in Montreal and twice I have taken visitors to the Amphi-Bus tour. We all found it weird and fun! My favorite part is the view of the Montreal city horizon from the water. Guides are fully bilingual, vehicle is in good shape, and pace is appropriate. Schedules are confusing.
"
das90a,Tunbridge Wells,United Kingdom, male , 35-49 ,"['montreal', ' quebec', 'churchill', ' manitoba', 'sydney', 'london', 'tallinn', 'new delhi', 'bristol', 'toronto', ' ontario', 'varanasi', 'agra', 'arezzo', 'ferrara']","[' canada', ' australia', ' uk', ' estonia', ' india', ' italy']",[],"Bota Bota, spa-sur-l'eau, Montreal"," two saunas with incredible views of the river and the Old Port, a eucalyptus steam bath, outdoor whirlpool baths, cold showers and baths, relaxation areas, restaurant, terraces and garden.Over and above its breathtaking Montreal location, this unique spa offers prolonged well-being to its passengers through massage therapy, body treatments, facial treatments, manicures and pedicures, as well as yoga and meditation.You can also delight your taste buds at the restaurant operated by Auberge sur la Route, with Michelin-starred chef Eric Gonzalez at its helm. Affiliated with the reputed Auberge St-Gabriel, Auberge sur la Route allows passengers to complement their experience with a fresh and simple menu, both original and comforting, for a serene healing of body and mind. ",,5 of 5 stars,Great spa with views over old Montreal - in an old ferry that's been converted. The whole set up is amazing with saunas steam rooms etc on all decks with panoramic views as well as pools on the decks - well worth a visit
Shawty311086,London,United Kingdom,,,"['montreal', ' quebec', 'accra', 'addis ababa', 'alicante', 'amsterdam', 'athens', 'atlantic city', ' nj', 'austin', ' tx', 'baltimore', ' md', 'barbados', 'berlin', 'birmingham']","[' canada', ' ghana', ' ethiopia', ' spain', ' the netherlands', ' greece', ' usa', ' caribbean', ' germany', ' uk']",[],"MBIOSPA, Montreal"," Spas
",,5 of 5 stars,"
Dad had a deep tissue massage, mom had a Swedish massage and daughter had a hot stone massage. It was phenomenal. We feel very relaxed and recommend their service! They are professionals and know exactly what they're doing.
We highly recommend them and have booked 2 more sessions!
"
cksteeve,Winnipeg,Canada, male , 25-34 ,"['las vegas', ' nv', 'los angeles', ' ca', 'rome', 'daytona beach', ' fl', 'montreal', ' quebec', 'bloomington', ' mn', 'san francisco', ' ca', 'florence', 'san diego', ' ca', 'calgary', ' alberta', 'dallas', ' tx', 'vatican city']","[' usa', ' italy', ' canada', ' vatican city']",[u'Love to travel! '],"Croisiere le Montrealais, Montreal",,,4 of 5 stars,"
Had a good time on the boat. It is very romantic for couples. The DJ is a great addition, as well as food and drink! Take the opportunity to sail the sea if you can .
"
cksteeve,Winnipeg,Canada, male , 25-34 ,"['las vegas', ' nv', 'los angeles', ' ca', 'rome', 'daytona beach', ' fl', 'montreal', ' quebec', 'bloomington', ' mn', 'san francisco', ' ca', 'florence', 'san diego', ' ca', 'calgary', ' alberta', 'dallas', ' tx', 'vatican city']","[' usa', ' italy', ' canada', ' vatican city']",[u'Love to travel! '],"Crescent Street, Montreal"," Landmarks/ Points of Interest
",,5 of 5 stars,"
This was my favorite street in montreal. Well.. other than old montreal obviously. Lots of restaurants, bars, and other things to do . You will always find a place to eat and have a good time. Go here if you are in town.
"
dangelo5,Canada,Canada,,,"['montreal', ' quebec', 'amalfi', 'bangkok', 'rome']","[' canada', 'bang phli', ' italy', ' thailand']",[],"Spa Principessa, Montreal",,,5 of 5 stars,"I went to Spa Principessa because of a ""Montreal a Rabais"" coupon
Was very impressed with information given over the phone about lipo cavitation treatments.
Was very satisfied with the results with five treatments and did not want to stop so have just
booked another five which may be all I need to achieve totally amazing results.
The spa is super clean and Patrizia and the other staff members are so welcoming and professional.
Also had a pedicure that was perfect.
Filomena"
FredPont,Montreal,Canada, male , 25-34 ,"['montreal', ' quebec']",[' canada'],[],"La Guilde Culinaire, Montreal",,,5 of 5 stars,"
Everytime I come back to the Guilde Culinaire I'm impressed with the amazing service provided by the staff and with the vision of chef Garnier for putting this school/shop/restaurant together. It's heaven for anyone with a passion for the art of preparing and presenting food. In an amazingly simple and accessible setting, you'll learn ways to prepare meals that will...


More 


"
AdrianHofer,Sarnen,Sarnen,,,"['montreal', ' quebec']",[' canada'],[],"Walks on the Wild Side, Montreal",,,3 of 5 stars,"
+ Underground City, Mt. Royal, Vieux Port, Little Italy, La Biosphere, Botanical Garden, Basilique Notre Dame
- Cars in the City
"
drlhbl,Brewer,Maine, female , 35-49 ,"['montreal', ' quebec', 'south portland', ' me', 'bangor', ' me', 'quebec city', ' quebec', 'dover', ' nh', 'freeport', ' me', 'laurel', ' md', 'mashantucket', ' ct', 'new castle', ' de', 'portsmouth', ' nh', 'scarborough', ' me', 'alexandria', ' va']","[' canada', ' usa']",[],"Jean-Talon Market, Montreal"," Flea/ Street Markets
",,5 of 5 stars,"
Run don't walk to this awesome market...
Loved everything
Disliked nothing
Great food and local finds in Little Italy
"
Heidbummer,Edinburgh,United Kingdom, male , 35-49 ,"['london', 'new york city', ' ny', 'washington dc', ' dc', 'berlin', 'edinburgh', 'sydney', 'montreal', ' quebec', 'paris', 'kailua-kona', ' hi', 'bordeaux', 'cairo', 'madrid']","[' uk', ' usa', ' germany', ' australia', ' canada', ' france', ' egypt', ' spain']",[u'Fussier the older I get and find travel is better for it. '],"Dieu du Ciel, Montreal"," Bar/ Clubs
",,5 of 5 stars,"I made the pilgrimage having had a couple of their beers on import.

If you are in any way someone who enjoys good beer (of many types) you can't lose going here. Some truly awesome brews.

And from one tiny corner of the bar some really top notch bar food is created. Service is friendly and welcoming and the bar staff are very knowledgeable about their beer.

With so many beers and so little time I went two nights running. Other local microbrewery bars can't hold a candle to this place.

DIeu du ciel's no 1 ranking is well deserved."
Luke_Branford,Essex,Essex,,,"['hastings', 'montreal', ' quebec', 'amsterdam', 'bansko', 'bratislava', ""cala d'or"", 'calpe', 'cologne', 'colombo', 'courchevel', 'cozumel', 'essaouira']","[' uk', ' canada', ' the netherlands', ' bulgaria', ' slovakia', ' spain', ' germany', ' sri lanka', ' france', ' mexico', ' morocco']",[],"Fishing Old Montreal, Montreal"," No Experience required, family, friends, colleagues, your catch is guaranteed (Walleye, Bass, Sturgeon monster, Musky, Carp and Northern Pike) The St-Laurence river is yours to discover, luxury boat, all equipment included with taxi service.(picnic lunch on an Island is available)Private Cruise",,5 of 5 stars,"Whilst working in Montreal for 6 months, I was constantly looking for things to do to fill my time here, and one day when walking down by the harbour I noticed the Peche Vieux Montreal sign and thought I'd reignite my years old love of fishing, and got myself booked onto a day fishing trip.

Jean (owner, boat captain & guide) is a very easy going, knowledgeable and patient individual, whose passion is fishing, and making sure that his customers enjoy every minute of the trip. His boat is well equipped (and very sparkly) and more than comfortable enough for a day on the very fast flowing waters of the St. Laurence river, targeting the fish that live in it.

We started off the day fishing for Sturgeon, and I was far from being disappointed, catching a 5 foot long perfect specimen, along with some smaller sturgeon and Walleye. To be honest I would've been happy calling it a day after catching the Sturgeon, but after a few hours we then headed further up river for a Bass fishing session. In all honesty, this was just as much fun, as it was fast paced fishing ,catching plenty of them, and they put up a very good fight for their size!!!

I was initially warname,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
26stastny26,Montreal,Canada, male , 25-34 ,"['reykjavik', 'london', 'rome', 'ottawa', ' ontario', 'akureyri', 'boston', ' ma', 'lake placid', ' ny', 'montreal', ' quebec', 'paris', 'burlington', ' vt', 'myvatn', 'new york city', ' ny']","[' iceland', ' uk', ' italy', ' canada', ' usa', ' france']",[],"Le Petit Navire, Montreal"," Boat Tours
",,5 of 5 stars,"
We have taken this mini-cruise earlier this week as a Groupon deal. The boat uses only electricity and probably the most ""green"" mini-cruise in the old port. The boat captain/guide was informative and quite knowledgeable about Montreal's history. Even for a Montrealer, this tour is quite pleasant. Definitely worth the deal.
"
Minamtl,Montreal,Canada, female , 35-49 ,"['st maarten-st martin', 'savaneta', 'palm - eagle beach', 'jamaica', 'montreal', ' quebec', 'oranjestad', 'tortuguero', 'nassau', 'siesta key', ' fl', 'la fortuna de san carlos', 'montezuma', 'noord']","[' caribbean', ' aruba', ' canada', ' costa rica', ' bahamas', ' usa']",[u'Snorkel lovers family. '],"Le Tsar Spa, Montreal",,,5 of 5 stars,"Tsar Spa was our first Russian spa style experience.
I reserved a package (Nordic spa and massage) for hubby and me.
We had been greeted so nicely, and been explained how things work there.
The place is a long apartment and at the end of it, you discover this unique Nordic spa behind a heavy wooden door. It is small yet cosy with wooden walls. We had it for the 2 of us. What a feeling ! Plants, the sound of water, 2 chairs and a small table in between with a Russian tea, classy cups and a beautiful bouquet of roses. We had a basket with towels, water, slippers, bathrobe etc. We felt as we were in a romantic getaway and loved it! The sauna was so hot (with pine scented water) that it helped us jump in the frozen small pool(with rose petals). You can then relax and sip the hot Russian tea. What a perfect atmosphere for a good relaxation! It is really a clean, quiet and comforting place; a different way to experience a Nordic spa, as you don't have huge pools and large areas but no crowd either. Massage time came and I quickly realised I was having one of the best treatment I ever had. It is not easy to find a massage therapist who performs the way you like, and Irina was a gem for me (deep tissue, percussions, hot oil, and she finishes with a hot humid towel to wipe off the massage oil off your skin). Did I mentioned that under the massage table there was another bouquet of roses? Have you ever seen that before? When I was done, I would loved to have my bed right there. I have to point out that the music Irina puts is not the kind we are used to hear and that adds to the experience (Aretha Franklin, jazz, blues). I hope you will get a chance to experience something like that or to think about it to make someone happy."
